10 32
-0.25 0 0
0 0 -0.05
0 0.00954045 -0.0490814
0 0.0195366 -0.0460252
0 0.0279596 -0.0414519
0 0.035967 -0.0347329
0 0.0424024 -0.026496
0 0.046679 -0.0179184
0 0.0493844 -0.00782172
0 0.0499695 0.00174497
0 0.0485148 0.0120961
0 0.0449397 0.0219186
0 0.0399318 0.0300908
0 0.032803 0.0377355
0 0.025 0.0433013
0 0.0154508 0.0475528
0 0.00522642 0.0497261
0 -0.00435779 0.0498097
0 -0.0146186 0.0478152
0 -0.0242405 0.043731
0 -0.0321394 0.0383022
0 -0.0394005 0.0307831
0 -0.0445503 0.0226995
0 -0.0482963 0.012941
0 -0.0499315 0.0026168
0 -0.0495134 -0.00695866
0 -0.0469846 -0.017101
0 -0.0428584 -0.0257519
0 -0.0365677 -0.0340999
0 -0.0286788 -0.0409576
0 -0.0203368 -0.0456773
0 -0.0103956 -0.0489074
0 -1.22465e-17 -0.05
-0.2 0 0
0 0 -0.05
0 0.00954045 -0.0490814
0 0.0195366 -0.0460252
0 0.0279596 -0.0414519
0 0.035967 -0.0347329
0 0.0424024 -0.026496
0 0.046679 -0.0179184
0 0.0493844 -0.00782172
0 0.0499695 0.00174497
0 0.0485148 0.0120961
0 0.0449397 0.0219186
0 0.0399318 0.0300908
0 0.032803 0.0377355
0 0.025 0.0433013
0 0.0154508 0.0475528
0 0.00522642 0.0497261
0 -0.00435779 0.0498097
0 -0.0146186 0.0478152
0 -0.0242405 0.043731
0 -0.0321394 0.0383022
0 -0.0394005 0.0307831
0 -0.0445503 0.0226995
0 -0.0482963 0.012941
0 -0.0499315 0.0026168
0 -0.0495134 -0.00695866
0 -0.0469846 -0.017101
0 -0.0428584 -0.0257519
0 -0.0365677 -0.0340999
0 -0.0286788 -0.0409576
0 -0.0203368 -0.0456773
0 -0.0103956 -0.0489074
0 -1.22465e-17 -0.05
-0.15 0 0
0 0 -0.05
0 0.00954045 -0.0490814
0 0.0195366 -0.0460252
0 0.0279596 -0.0414519
0 0.035967 -0.0347329
0 0.0424024 -0.026496
0 0.046679 -0.0179184
0 0.0493844 -0.00782172
0 0.0499695 0.00174497
0 0.0485148 0.0120961
0 0.0449397 0.0219186
0 0.0399318 0.0300908
0 0.032803 0.0377355
0 0.025 0.0433013
